ingredients_1,ingredients_2,ingredients_3,choice_set
0.0,0.0,1.0,1
0.10344828,0.5255648,0.37098692,1
0.0,0.0,1.0,2
0.34482759,0.65517241,0.0,2
0.0,0.93103448,0.06896552,3
0.0,0.0,1.0,3
0.10344828,0.5255648,0.37098692,4
0.34482759,0.65517241,0.0,4
0.0,0.0,1.0,5
0.34482759,0.3208814,0.33429101,5
0.0,0.0,1.0,6
0.26720648,0.24137931,0.49141421,6
1.0,0.0,0.0,7
0.34482759,0.3208814,0.33429101,7
0.0,0.93103448,0.06896552,8
0.34482759,0.65517241,0.0,8
0.0,0.4137931,0.5862069,9
0.0,0.0,1.0,9
0.0,0.93103448,0.06896552,10
0.0,0.0,1.0,10
0.0,0.93103448,0.06896552,11
0.34482759,0.3208814,0.33429101,11
0.0,0.0,1.0,12
0.10344828,0.5255648,0.37098692,12
0.0,0.0,1.0,13
0.51724138,0.0,0.48275862,13
1.0,0.0,0.0,14
0.51724138,0.0,0.48275862,14
0.0,0.0,1.0,15
0.51724138,0.0,0.48275862,15
0.0,0.4137931,0.5862069,16
0.34482759,0.3208814,0.33429101,16
